@relation Semeion
@attribute a0 {0,1}
@attribute a1 {0,1}
@attribute a2 {0,1}
@attribute a3 {0,1}
@attribute a4 {0,1}
@attribute a5 {0,1}
@attribute a6 {0,1}
@attribute a7 {0,1}
@attribute a8 {0,1}
@attribute a9 {0,1}
@attribute a10 {0,1}
@attribute a11 {0,1}
@attribute a12 {0,1}
@attribute a13 {0,1}
@attribute a14 {0,1}
@attribute a15 {0,1}
@attribute a16 {0,1}
@attribute a17 {0,1}
@attribute a18 {0,1}
@attribute a19 {0,1}
@attribute a20 {0,1}
@attribute a21 {0,1}
@attribute a22 {0,1}
@attribute a23 {0,1}
@attribute a24 {0,1}
@attribute a25 {0,1}
@attribute a26 {0,1}
@attribute a27 {0,1}
@attribute a28 {0,1}
@attribute a29 {0,1}
@attribute a30 {0,1}
@attribute a31 {0,1}
@attribute a32 {0,1}
@attribute a33 {0,1}
@attribute a34 {0,1}
@attribute a35 {0,1}
@attribute a36 {0,1}
@attribute a37 {0,1}
@attribute a38 {0,1}
@attribute a39 {0,1}
@attribute a40 {0,1}
@attribute a41 {0,1}
@attribute a42 {0,1}
@attribute a43 {0,1}
@attribute a44 {0,1}
@attribute a45 {0,1}
@attribute a46 {0,1}
@attribute a47 {0,1}
@attribute a48 {0,1}
@attribute a49 {0,1}
@attribute a50 {0,1}
@attribute a51 {0,1}
@attribute a52 {0,1}
@attribute a53 {0,1}
@attribute a54 {0,1}
@attribute a55 {0,1}
@attribute a56 {0,1}
@attribute a57 {0,1}
@attribute a58 {0,1}
@attribute a59 {0,1}
@attribute a60 {0,1}
@attribute a61 {0,1}
@attribute a62 {0,1}
@attribute a63 {0,1}
@attribute a64 {0,1}
@attribute a65 {0,1}
@attribute a66 {0,1}
@attribute a67 {0,1}
@attribute a68 {0,1}
@attribute a69 {0,1}
@attribute a70 {0,1}
@attribute a71 {0,1}
@attribute a72 {0,1}
@attribute a73 {0,1}
@attribute a74 {0,1}
@attribute a75 {0,1}
@attribute a76 {0,1}
@attribute a77 {0,1}
@attribute a78 {0,1}
@attribute a79 {0,1}
@attribute a80 {0,1}
@attribute a81 {0,1}
@attribute a82 {0,1}
@attribute a83 {0,1}
@attribute a84 {0,1}
@attribute a85 {0,1}
@attribute a86 {0,1}
@attribute a87 {0,1}
@attribute a88 {0,1}
@attribute a89 {0,1}
@attribute a90 {0,1}
@attribute a91 {0,1}
@attribute a92 {0,1}
@attribute a93 {0,1}
@attribute a94 {0,1}
@attribute a95 {0,1}
@attribute a96 {0,1}
@attribute a97 {0,1}
@attribute a98 {0,1}
@attribute a99 {0,1}
@attribute a100 {0,1}
@attribute a101 {0,1}
@attribute a102 {0,1}
@attribute a103 {0,1}
@attribute a104 {0,1}
@attribute a105 {0,1}
@attribute a106 {0,1}
@attribute a107 {0,1}
@attribute a108 {0,1}
@attribute a109 {0,1}
@attribute a110 {0,1}
@attribute a111 {0,1}
@attribute a112 {0,1}
@attribute a113 {0,1}
@attribute a114 {0,1}
@attribute a115 {0,1}
@attribute a116 {0,1}
@attribute a117 {0,1}
@attribute a118 {0,1}
@attribute a119 {0,1}
@attribute a120 {0,1}
@attribute a121 {0,1}
@attribute a122 {0,1}
@attribute a123 {0,1}
@attribute a124 {0,1}
@attribute a125 {0,1}
@attribute a126 {0,1}
@attribute a127 {0,1}
@attribute a128 {0,1}
@attribute a129 {0,1}
@attribute a130 {0,1}
@attribute a131 {0,1}
@attribute a132 {0,1}
@attribute a133 {0,1}
@attribute a134 {0,1}
@attribute a135 {0,1}
@attribute a136 {0,1}
@attribute a137 {0,1}
@attribute a138 {0,1}
@attribute a139 {0,1}
@attribute a140 {0,1}
@attribute a141 {0,1}
@attribute a142 {0,1}
@attribute a143 {0,1}
@attribute a144 {0,1}
@attribute a145 {0,1}
@attribute a146 {0,1}
@attribute a147 {0,1}
@attribute a148 {0,1}
@attribute a149 {0,1}
@attribute a150 {0,1}
@attribute a151 {0,1}
@attribute a152 {0,1}
@attribute a153 {0,1}
@attribute a154 {0,1}
@attribute a155 {0,1}
@attribute a156 {0,1}
@attribute a157 {0,1}
@attribute a158 {0,1}
@attribute a159 {0,1}
@attribute a160 {0,1}
@attribute a161 {0,1}
@attribute a162 {0,1}
@attribute a163 {0,1}
@attribute a164 {0,1}
@attribute a165 {0,1}
@attribute a166 {0,1}
@attribute a167 {0,1}
@attribute a168 {0,1}
@attribute a169 {0,1}
@attribute a170 {0,1}
@attribute a171 {0,1}
@attribute a172 {0,1}
@attribute a173 {0,1}
@attribute a174 {0,1}
@attribute a175 {0,1}
@attribute a176 {0,1}
@attribute a177 {0,1}
@attribute a178 {0,1}
@attribute a179 {0,1}
@attribute a180 {0,1}
@attribute a181 {0,1}
@attribute a182 {0,1}
@attribute a183 {0,1}
@attribute a184 {0,1}
@attribute a185 {0,1}
@attribute a186 {0,1}
@attribute a187 {0,1}
@attribute a188 {0,1}
@attribute a189 {0,1}
@attribute a190 {0,1}
@attribute a191 {0,1}
@attribute a192 {0,1}
@attribute a193 {0,1}
@attribute a194 {0,1}
@attribute a195 {0,1}
@attribute a196 {0,1}
@attribute a197 {0,1}
@attribute a198 {0,1}
@attribute a199 {0,1}
@attribute a200 {0,1}
@attribute a201 {0,1}
@attribute a202 {0,1}
@attribute a203 {0,1}
@attribute a204 {0,1}
@attribute a205 {0,1}
@attribute a206 {0,1}
@attribute a207 {0,1}
@attribute a208 {0,1}
@attribute a209 {0,1}
@attribute a210 {0,1}
@attribute a211 {0,1}
@attribute a212 {0,1}
@attribute a213 {0,1}
@attribute a214 {0,1}
@attribute a215 {0,1}
@attribute a216 {0,1}
@attribute a217 {0,1}
@attribute a218 {0,1}
@attribute a219 {0,1}
@attribute a220 {0,1}
@attribute a221 {0,1}
@attribute a222 {0,1}
@attribute a223 {0,1}
@attribute a224 {0,1}
@attribute a225 {0,1}
@attribute a226 {0,1}
@attribute a227 {0,1}
@attribute a228 {0,1}
@attribute a229 {0,1}
@attribute a230 {0,1}
@attribute a231 {0,1}
@attribute a232 {0,1}
@attribute a233 {0,1}
@attribute a234 {0,1}
@attribute a235 {0,1}
@attribute a236 {0,1}
@attribute a237 {0,1}
@attribute a238 {0,1}
@attribute a239 {0,1}
@attribute a240 {0,1}
@attribute a241 {0,1}
@attribute a242 {0,1}
@attribute a243 {0,1}
@attribute a244 {0,1}
@attribute a245 {0,1}
@attribute a246 {0,1}
@attribute a247 {0,1}
@attribute a248 {0,1}
@attribute a249 {0,1}
@attribute a250 {0,1}
@attribute a251 {0,1}
@attribute a252 {0,1}
@attribute a253 {0,1}
@attribute a254 {0,1}
@attribute a255 {0,1}
@attribute ans {0,1}
@data
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0
0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0
0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
